name,alg,sol,time,opt_sol,diff,71/60opt,71/60diff
N1C1W1_A,GA,31,4,25,6,30,-1
N1C1W1_B,GA,35,8,31,4,37,2
N1C1W1_C,GA,26,5,20,6,24,-2
N1C1W1_D,GA,31,7,28,3,33,2
N1C1W1_E,GA,31,7,26,5,31,0
N1C1W1_F,GA,31,5,27,4,32,1
N1C1W1_G,GA,30,6,25,5,30,0
N1C1W1_H,GA,36,7,31,5,37,1
N1C1W1_I,GA,28,6,25,3,30,2
N1C1W1_J,GA,30,7,26,4,31,1
N1C1W1_K,GA,30,6,26,4,31,1
N1C1W1_L,GA,38,7,33,5,39,1
N1C1W1_M,GA,34,8,30,4,36,2
N1C1W1_N,GA,30,6,25,5,30,0
N1C1W1_O,GA,38,8,32,6,38,0
N1C1W1_P,GA,31,4,26,5,31,0
N1C1W1_Q,GA,34,8,28,6,33,-1
N1C1W1_R,GA,31,6,25,6,30,-1
N1C1W1_S,GA,34,5,28,6,33,-1
N1C1W1_T,GA,35,8,28,7,33,-2
N1C1W2_A,GA,32,8,29,3,34,2
N1C1W2_B,GA,36,7,30,6,36,0
N1C1W2_C,GA,37,7,33,4,39,2
N1C1W2_D,GA,36,7,31,5,37,1
N1C1W2_E,GA,40,8,36,4,43,3
N1C1W2_F,GA,35,7,30,5,36,1
N1C1W2_G,GA,36,7,30,6,36,0
N1C1W2_H,GA,38,8,33,5,39,1
N1C1W2_I,GA,41,8,35,6,41,0
N1C1W2_J,GA,42,8,34,8,40,-2
N1C1W2_K,GA,39,8,35,4,41,2
N1C1W2_L,GA,36,7,31,5,37,1
N1C1W2_M,GA,37,7,30,7,36,-1
N1C1W2_N,GA,38,8,33,5,39,1
N1C1W2_O,GA,35,7,29,6,34,-1
N1C1W2_P,GA,38,8,33,5,39,1
N1C1W2_Q,GA,40,8,36,4,43,3
N1C1W2_R,GA,38,6,34,4,40,2
N1C1W2_S,GA,41,9,37,4,44,3
N1C1W2_T,GA,41,8,38,3,45,4
N1C1W4_A,GA,39,6,35,4,41,2
N1C1W4_B,GA,42,6,40,2,47,5
N1C1W4_C,GA,41,8,36,5,43,2
N1C1W4_D,GA,43,9,38,5,45,2
N1C1W4_E,GA,42,8,38,4,45,3
N1C1W4_F,GA,40,8,32,8,38,-2
N1C1W4_G,GA,42,6,37,5,44,2
N1C1W4_H,GA,44,9,40,4,47,3
N1C1W4_I,GA,41,6,35,6,41,0
N1C1W4_J,GA,42,9,37,5,44,2
N1C1W4_K,GA,45,9,41,4,49,4
N1C1W4_L,GA,41,8,35,6,41,0
N1C1W4_M,GA,44,8,41,3,49,5
N1C1W4_N,GA,42,8,39,3,46,4
N1C1W4_O,GA,38,7,34,4,40,2
N1C1W4_P,GA,43,9,38,5,45,2
N1C1W4_Q,GA,41,8,34,7,40,-1
N1C1W4_R,GA,43,8,38,5,45,2
N1C1W4_S,GA,41,8,36,5,43,2
N1C1W4_T,GA,45,8,42,3,50,5
N1C2W1_A,GA,25,5,21,4,25,0
N1C2W1_B,GA,32,6,26,6,31,-1
N1C2W1_C,GA,31,5,23,8,27,-4
N1C2W1_D,GA,26,4,21,5,25,-1
N1C2W1_E,GA,22,4,17,5,20,-2
N1C2W1_F,GA,30,6,22,8,26,-4
N1C2W1_G,GA,27,5,21,6,25,-2
N1C2W1_H,GA,28,6,23,5,27,-1
N1C2W1_I,GA,32,7,27,5,32,0
N1C2W1_J,GA,34,7,27,7,32,-2
N1C2W1_K,GA,28,5,24,4,28,0
N1C2W1_L,GA,29,6,25,4,30,1
N1C2W1_M,GA,30,6,26,4,31,1
N1C2W1_N,GA,25,5,21,4,25,0
N1C2W1_O,GA,18,4,15,3,18,0
N1C2W1_P,GA,26,5,21,5,25,-1
N1C2W1_Q,GA,29,6,24,5,28,-1
N1C2W1_R,GA,28,6,23,5,27,-1
N1C2W1_S,GA,28,4,22,6,26,-2
N1C2W1_T,GA,29,4,22,7,26,-3
N1C2W2_A,GA,30,6,24,6,28,-2
N1C2W2_B,GA,33,8,27,6,32,-1
N1C2W2_C,GA,35,8,29,6,34,-1
N1C2W2_D,GA,29,4,24,5,28,-1
N1C2W2_E,GA,40,6,33,7,39,-1
N1C2W2_F,GA,31,7,26,5,31,0
N1C2W2_G,GA,35,8,29,6,34,-1
N1C2W2_H,GA,30,5,23,7,27,-3
N1C2W2_I,GA,32,7,25,7,30,-2
N1C2W2_J,GA,30,5,25,5,30,0
N1C2W2_K,GA,34,8,29,5,34,0
N1C2W2_L,GA,35,7,30,5,36,1
N1C2W2_M,GA,35,7,30,5,36,1
N1C2W2_N,GA,33,7,26,7,31,-2
N1C2W2_O,GA,33,8,29,4,34,1
N1C2W2_P,GA,29,6,23,6,27,-2
N1C2W2_Q,GA,34,6,30,4,36,2
N1C2W2_R,GA,31,7,25,6,30,-1
N1C2W2_S,GA,30,6,24,6,28,-2
N1C2W2_T,GA,32,8,26,6,31,-1
N1C2W4_A,GA,35,8,29,6,34,-1
N1C2W4_B,GA,37,6,32,5,38,1
N1C2W4_C,GA,38,6,30,8,36,-2
N1C2W4_D,GA,33,5,28,5,33,0
N1C2W4_E,GA,35,6,30,5,36,1
N1C2W4_F,GA,37,5,32,5,38,1
N1C2W4_G,GA,38,5,30,8,36,-2
N1C2W4_H,GA,36,6,30,6,36,0
N1C2W4_I,GA,38,5,35,3,41,3
N1C2W4_J,GA,35,8,30,5,36,1
N1C2W4_K,GA,38,9,32,6,38,0
N1C2W4_L,GA,35,7,31,4,37,2
N1C2W4_M,GA,36,8,31,5,37,1
N1C2W4_N,GA,38,8,32,6,38,0
N1C2W4_O,GA,35,7,30,5,36,1
N1C2W4_P,GA,34,8,28,6,33,-1
N1C2W4_Q,GA,39,8,33,6,39,0
N1C2W4_R,GA,39,8,35,4,41,2
N1C2W4_S,GA,41,8,38,3,45,4
N1C2W4_T,GA,32,7,29,3,34,2
N1C3W1_A,GA,20,4,16,4,19,-1
N1C3W1_B,GA,20,4,16,4,19,-1
N1C3W1_C,GA,22,5,17,5,20,-2
N1C3W1_D,GA,23,5,19,4,22,-1
N1C3W1_E,GA,19,5,16,3,19,0
N1C3W1_F,GA,25,5,20,5,24,-1
N1C3W1_G,GA,18,4,15,3,18,0
N1C3W1_H,GA,24,5,19,5,22,-2
N1C3W1_I,GA,21,4,17,4,20,-1
N1C3W1_J,GA,20,4,16,4,19,-1
N1C3W1_K,GA,20,5,17,3,20,0
N1C3W1_L,GA,20,5,17,3,20,0
N1C3W1_M,GA,20,5,17,3,20,0
N1C3W1_N,GA,25,6,20,5,24,-1
N1C3W1_O,GA,19,3,16,3,19,0
