name,alg,sol,time,opt,diff,oopt,odiff
N1C1W1A,GA,31,4,25,6,30,-1
N1C1W1B,GA,35,8,31,4,37,2
N1C1W1C,GA,26,5,20,6,24,-2
N1C1W1D,GA,31,7,28,3,33,2
N1C1W1E,GA,31,7,26,5,31,0
N1C1W1F,GA,31,5,27,4,32,1
N1C1W1G,GA,30,6,25,5,30,0
N1C1W1H,GA,36,7,31,5,37,1
N1C1W1I,GA,28,6,25,3,30,2
N1C1W1J,GA,30,7,26,4,31,1
N1C1W1K,GA,30,6,26,4,31,1
N1C1W1L,GA,38,7,33,5,39,1
N1C1W1M,GA,34,8,30,4,36,2
N1C1W1N,GA,30,6,25,5,30,0
N1C1W1O,GA,38,8,32,6,38,0
N1C1W1P,GA,31,4,26,5,31,0
N1C1W1Q,GA,34,8,28,6,33,-1
N1C1W1R,GA,31,6,25,6,30,-1
N1C1W1S,GA,34,5,28,6,33,-1
N1C1W1T,GA,35,8,28,7,33,-2
